mill,min
-93877,1.564616667
-82751,1.379183333
-83693,1.394883333
-83003,1.383383333
-82260,1.371
-111572,1.859533333
-95944,1.599066667
-100382,1.673033333
-99053,1.650883333
-83487,1.39145
-79283,1.321383333
-87078,1.4513
-82308,1.3718
-2218736,1.772516667
-130394,2.173233333
-127012,2.116866667
-110284,1.838066667
-111438,1.8573
-115247,1.920783333
-114964,1.916066667
-111145,1.852416667
-99585,1.65975
-106417,1.773616667
-107074,1.784566667
-100502,1.675033333
-104134,1.735566667
-109955,1.832583333
-112761,1.87935
-105597,1.75995
-100764,1.6794
-102669,1.71115
-100869,1.68115
-96600,1.61
-96838,1.613966667
-98294,1.638233333
-97422,1.6237
-102813,1.71355
-100605,1.67675
-99495,1.65825
-97216,1.620266667
-100224,1.6704
-100141,1.669016667
-95926,1.598766667
-105113,1.751883333
-106502,1.775033333
-100537,1.675616667
-98077,1.634616667
-115346,1.922433333
-111366,1.8561
-122980,2.049666667
-112924,1.882066667
-117742,1.962366667
-105569,1.759483333
-118237,1.970616667
-110505,1.84175
-115000,1.916666667
-113378,1.889633333
-101565,1.69275
-109941,1.83235
-109327,1.822116667
-100761,1.67935
-100160,1.669333333
-93858,1.5643
-96916,1.615266667
-93023,1.550383333
-98365,1.639416667
-99408,1.6568
-96888,1.6148
-95063,1.584383333
-103134,1.7189
-97539,1.62565
-102900,1.715
-96765,1.61275
-93276,1.5546
-100073,1.667883333
-99240,1.654
-101007,1.68345
-97185,1.61975
-99473,1.657883333
-98448,1.6408
-96753,1.61255
-100164,1.6694
-99144,1.6524
-102579,1.70965
-98152,1.635866667
-103974,1.7329
-105413,1.756883333
-99853,1.664216667
-107591,1.793183333
-103804,1.730066667
-106758,1.7793
-100534,1.675566667
-94415,1.573583333
-102775,1.712916667
-101838,1.6973
-102597,1.70995
-96511,1.608516667
-100909,1.681816667
-100614,1.6769
-101250,1.6875
