mean
1.558732622
1.559085149
1.559203393
1.5581996
1.55726137
1.558749375
1.558759186
1.559855316
1.558105124
1.558814653
1.559178323
1.557142151
1.558009927
1.558309886
1.558710874
1.559075739
1.557175525
1.55758796
1.557397032
1.557219399
1.560039187
1.55860019
1.559682089
1.558749714
1.557802077
1.558380983
1.557655582
1.55725274
1.558511358
1.558751538
1.560260665
1.556641423
1.560101438
1.557465498
1.55574217
1.557344337
1.559680432
1.55885099
1.558215743
1.559691216
1.55660942
1.557133069
1.561423992
1.560181461
1.557027163
1.557705979
1.559452563
1.555562969
1.558665725
1.558083299
